old_token,new_token,rule
FUN_0039604c,recovered_fn_0029604c,function-name normalization
FUN_0039605c,recovered_fn_0029605c,function-name normalization
FUN_00396070,recovered_fn_00296070,function-name normalization
FUN_00396090,recovered_fn_00296090,function-name normalization
FUN_003960a4,recovered_fn_002960a4,function-name normalization
FUN_003961e0,recovered_fn_002961e0,function-name normalization
FUN_003967b4,recovered_fn_002967b4,function-name normalization
FUN_0039698c,recovered_fn_0029698c,function-name normalization
FUN_00396a04,recovered_fn_00296a04,function-name normalization
FUN_00396a78,recovered_fn_00296a78,function-name normalization
FUN_00396ab4,recovered_fn_00296ab4,function-name normalization
FUN_00396ad8,recovered_fn_00296ad8,function-name normalization
FUN_00396ae0,recovered_fn_00296ae0,function-name normalization
FUN_00396b04,recovered_fn_00296b04,function-name normalization
FUN_00396e38,recovered_fn_00296e38,function-name normalization
FUN_00396e5c,recovered_fn_00296e5c,function-name normalization
FUN_00396fa8,recovered_fn_00296fa8,function-name normalization
FUN_00397268,recovered_fn_00297268,function-name normalization
FUN_003972bc,recovered_fn_002972bc,function-name normalization
FUN_00397588,recovered_fn_00297588,function-name normalization
FUN_0039789c,recovered_fn_0029789c,function-name normalization
FUN_00397a6c,recovered_fn_00297a6c,function-name normalization
FUN_00397ae4,recovered_fn_00297ae4,function-name normalization
FUN_00399004,recovered_fn_00299004,function-name normalization
FUN_0039923c,recovered_fn_0029923c,function-name normalization
FUN_0039933c,recovered_fn_0029933c,function-name normalization
FUN_0039943c,recovered_fn_0029943c,function-name normalization
FUN_0039a064,recovered_fn_0029a064,function-name normalization
FUN_0039a06c,recovered_fn_0029a06c,function-name normalization
FUN_0039a178,recovered_fn_0029a178,function-name normalization
FUN_0039a1bc,recovered_fn_0029a1bc,function-name normalization
FUN_0039a474,recovered_fn_0029a474,function-name normalization
FUN_0039a618,recovered_fn_0029a618,function-name normalization
FUN_0039a734,recovered_fn_0029a734,function-name normalization
FUN_0039a814,recovered_fn_0029a814,function-name normalization
FUN_0039a81c,recovered_fn_0029a81c,function-name normalization
FUN_0039a83c,recovered_fn_0029a83c,function-name normalization
FUN_0039a878,recovered_fn_0029a878,function-name normalization
FUN_0039a880,recovered_fn_0029a880,function-name normalization
FUN_0039a8b4,recovered_fn_0029a8b4,function-name normalization
FUN_0039a8dc,recovered_fn_0029a8dc,function-name normalization
FUN_0039a8e0,recovered_fn_0029a8e0,function-name normalization
FUN_0039a8e4,recovered_fn_0029a8e4,function-name normalization
FUN_0039a8ec,recovered_fn_0029a8ec,function-name normalization
FUN_0039a8f4,recovered_fn_0029a8f4,function-name normalization
FUN_0039a92c,recovered_fn_0029a92c,function-name normalization
FUN_0039a930,recovered_fn_0029a930,function-name normalization
FUN_0039aa7c,recovered_fn_0029aa7c,function-name normalization
FUN_0039aa84,recovered_fn_0029aa84,function-name normalization
FUN_0039ab90,recovered_fn_0029ab90,function-name normalization
FUN_0039aca4,recovered_fn_0029aca4,function-name normalization
FUN_0039af40,recovered_fn_0029af40,function-name normalization
FUN_0039b050,recovered_fn_0029b050,function-name normalization
FUN_0039b16c,recovered_fn_0029b16c,function-name normalization
FUN_0039b24c,recovered_fn_0029b24c,function-name normalization
FUN_0039b254,recovered_fn_0029b254,function-name normalization
FUN_0039b264,recovered_fn_0029b264,function-name normalization
FUN_0039b2ac,recovered_fn_0029b2ac,function-name normalization
FUN_0039b388,recovered_fn_0029b388,function-name normalization
FUN_0039b4b4,recovered_fn_0029b4b4,function-name normalization
FUN_0039b4bc,recovered_fn_0029b4bc,function-name normalization
FUN_0039b4cc,recovered_fn_0029b4cc,function-name normalization
FUN_0039b4d4,recovered_fn_0029b4d4,function-name normalization
FUN_0039b4dc,recovered_fn_0029b4dc,function-name normalization
FUN_0039b568,recovered_fn_0029b568,function-name normalization
FUN_0039b5e8,recovered_fn_0029b5e8,function-name normalization
FUN_0039b67c,recovered_fn_0029b67c,function-name normalization
FUN_0039b6bc,recovered_fn_0029b6bc,function-name normalization
FUN_0039b704,recovered_fn_0029b704,function-name normalization
FUN_0039b804,recovered_fn_0029b804,function-name normalization
FUN_0039b818,recovered_fn_0029b818,function-name normalization
FUN_0039b868,recovered_fn_0029b868,function-name normalization
FUN_0039b8d8,recovered_fn_0029b8d8,function-name normalization
FUN_0039ba38,recovered_fn_0029ba38,function-name normalization
FUN_0039ba98,recovered_fn_0029ba98,function-name normalization
FUN_0039baf4,recovered_fn_0029baf4,function-name normalization
FUN_0039bb5c,recovered_fn_0029bb5c,function-name normalization
FUN_0039bbe8,recovered_fn_0029bbe8,function-name normalization
FUN_0039bc0c,recovered_fn_0029bc0c,function-name normalization
FUN_0039bcfc,recovered_fn_0029bcfc,function-name normalization
FUN_0039bdf4,recovered_fn_0029bdf4,function-name normalization
FUN_0039beb4,recovered_fn_0029beb4,function-name normalization
FUN_0039bf24,recovered_fn_0029bf24,function-name normalization
FUN_0039c114,recovered_fn_0029c114,function-name normalization
FUN_0039c394,recovered_fn_0029c394,function-name normalization
FUN_0039c3f4,recovered_fn_0029c3f4,function-name normalization
FUN_0039c638,recovered_fn_0029c638,function-name normalization
FUN_0039c644,recovered_fn_0029c644,function-name normalization
FUN_0039c6d0,recovered_fn_0029c6d0,function-name normalization
FUN_0039c750,recovered_fn_0029c750,function-name normalization
FUN_0039c7e4,recovered_fn_0029c7e4,function-name normalization
FUN_0039c7f8,recovered_fn_0029c7f8,function-name normalization
FUN_0039c808,recovered_fn_0029c808,function-name normalization
FUN_0039c818,recovered_fn_0029c818,function-name normalization
FUN_0039c824,recovered_fn_0029c824,function-name normalization
FUN_0039c830,recovered_fn_0029c830,function-name normalization
FUN_0039c838,recovered_fn_0029c838,function-name normalization
FUN_0039c844,recovered_fn_0029c844,function-name normalization
FUN_0039c850,recovered_fn_0029c850,function-name normalization
FUN_0039c860,recovered_fn_0029c860,function-name normalization
FUN_0039c86c,recovered_fn_0029c86c,function-name normalization
FUN_0039c878,recovered_fn_0029c878,function-name normalization
FUN_0039c884,recovered_fn_0029c884,function-name normalization
FUN_0039c890,recovered_fn_0029c890,function-name normalization
FUN_0039c8a0,recovered_fn_0029c8a0,function-name normalization
FUN_0039d290,recovered_fn_0029d290,function-name normalization
FUN_0039d2e8,recovered_fn_0029d2e8,function-name normalization
FUN_0039d478,recovered_fn_0029d478,function-name normalization
FUN_0039d484,recovered_fn_0029d484,function-name normalization
FUN_0039d6ac,recovered_fn_0029d6ac,function-name normalization
FUN_0039d7e4,recovered_fn_0029d7e4,function-name normalization
FUN_0039d944,recovered_fn_0029d944,function-name normalization
FUN_0039dae8,recovered_fn_0029dae8,function-name normalization
FUN_0039dc8c,recovered_fn_0029dc8c,function-name normalization
FUN_0039dc9c,recovered_fn_0029dc9c,function-name normalization
FUN_0039dca8,recovered_fn_0029dca8,function-name normalization
FUN_0039dcac,recovered_fn_0029dcac,function-name normalization
FUN_0039dcb0,recovered_fn_0029dcb0,function-name normalization
FUN_0039dcd4,recovered_fn_0029dcd4,function-name normalization
FUN_0039dcf0,recovered_fn_0029dcf0,function-name normalization
FUN_0039dd30,recovered_fn_0029dd30,function-name normalization
FUN_0039dd44,recovered_fn_0029dd44,function-name normalization
FUN_0039dd84,recovered_fn_0029dd84,function-name normalization
FUN_0039e1a4,recovered_fn_0029e1a4,function-name normalization
FUN_0039e428,recovered_fn_0029e428,function-name normalization
FUN_0039eb4c,recovered_fn_0029eb4c,function-name normalization
FUN_0039eb58,recovered_fn_0029eb58,function-name normalization
FUN_0039eb98,recovered_fn_0029eb98,function-name normalization
FUN_0039ebd8,recovered_fn_0029ebd8,function-name normalization
