ghidra_address,raw_address,generated_name,body_bytes,source_kind,original_name,status
0x39603c,0x29603c,recovered_fn_0029603c,16,c_decompiled,entry,ok
0x39604c,0x29604c,recovered_fn_0029604c,8,c_decompiled,FUN_0039604c,ok
0x396054,0x296054,recovered_fn_00296054,8,c_decompiled,_FINI_0,ok
0x39605c,0x29605c,recovered_fn_0029605c,20,c_decompiled,FUN_0039605c,ok
0x396070,0x296070,recovered_fn_00296070,32,c_decompiled,FUN_00396070,ok
0x396090,0x296090,recovered_fn_00296090,16,c_decompiled,FUN_00396090,ok
0x3960a0,0x2960a0,recovered_fn_002960a0,4,c_decompiled,zygisk_module_entry,ok
0x3960a4,0x2960a4,recovered_fn_002960a4,316,c_decompiled,FUN_003960a4,ok
0x3961e0,0x2961e0,recovered_fn_002961e0,1492,c_decompiled,FUN_003961e0,ok
0x3967b4,0x2967b4,recovered_fn_002967b4,472,c_decompiled,FUN_003967b4,ok
0x39698c,0x29698c,recovered_fn_0029698c,120,c_decompiled,FUN_0039698c,ok
0x396a04,0x296a04,recovered_fn_00296a04,116,c_decompiled,FUN_00396a04,ok
0x396a78,0x296a78,recovered_fn_00296a78,60,c_decompiled,FUN_00396a78,ok
0x396ab4,0x296ab4,recovered_fn_00296ab4,36,c_decompiled,FUN_00396ab4,ok
0x396ad8,0x296ad8,recovered_fn_00296ad8,8,c_decompiled,FUN_00396ad8,ok
0x396ae0,0x296ae0,recovered_fn_00296ae0,36,c_decompiled,FUN_00396ae0,ok
0x396b04,0x296b04,recovered_fn_00296b04,816,c_decompiled,FUN_00396b04,ok
0x396e34,0x296e34,recovered_fn_00296e34,4,c_decompiled,free,ok
0x396e38,0x296e38,recovered_fn_00296e38,36,c_decompiled,FUN_00396e38,ok
0x396e5c,0x296e5c,recovered_fn_00296e5c,332,c_decompiled,FUN_00396e5c,ok
0x396fa8,0x296fa8,recovered_fn_00296fa8,704,c_decompiled,FUN_00396fa8,ok
0x397268,0x297268,recovered_fn_00297268,84,c_decompiled,FUN_00397268,ok
0x3972bc,0x2972bc,recovered_fn_002972bc,716,c_decompiled,FUN_003972bc,ok
0x397588,0x297588,recovered_fn_00297588,788,c_decompiled,FUN_00397588,ok
0x39789c,0x29789c,recovered_fn_0029789c,464,c_decompiled,FUN_0039789c,ok
0x397a6c,0x297a6c,recovered_fn_00297a6c,120,c_decompiled,FUN_00397a6c,ok
0x397ae4,0x297ae4,recovered_fn_00297ae4,5408,c_decompiled,FUN_00397ae4,ok
0x399004,0x299004,recovered_fn_00299004,568,assembly,,missing
0x39923c,0x29923c,recovered_fn_0029923c,256,c_decompiled,FUN_0039923c,ok
0x39933c,0x29933c,recovered_fn_0029933c,256,c_decompiled,FUN_0039933c,ok
0x39943c,0x29943c,recovered_fn_0029943c,20,c_decompiled,FUN_0039943c,ok
0x399450,0x299450,recovered_fn_00299450,3092,c_decompiled,zygisk_companion_entry,ok
0x39a064,0x29a064,recovered_fn_0029a064,4,c_decompiled,FUN_0039a064,ok
0x39a068,0x29a068,recovered_fn_0029a068,4,c_decompiled,free,ok
0x39a06c,0x29a06c,recovered_fn_0029a06c,268,c_decompiled,FUN_0039a06c,ok
0x39a178,0x29a178,recovered_fn_0029a178,68,c_decompiled,FUN_0039a178,ok
0x39a1bc,0x29a1bc,recovered_fn_0029a1bc,696,c_decompiled,FUN_0039a1bc,ok
0x39a474,0x29a474,recovered_fn_0029a474,420,c_decompiled,FUN_0039a474,ok
0x39a618,0x29a618,recovered_fn_0029a618,284,c_decompiled,FUN_0039a618,ok
0x39a734,0x29a734,recovered_fn_0029a734,224,c_decompiled,FUN_0039a734,ok
0x39a814,0x29a814,recovered_fn_0029a814,8,c_decompiled,FUN_0039a814,ok
0x39a81c,0x29a81c,recovered_fn_0029a81c,32,c_decompiled,FUN_0039a81c,ok
0x39a83c,0x29a83c,recovered_fn_0029a83c,60,c_decompiled,FUN_0039a83c,ok
0x39a878,0x29a878,recovered_fn_0029a878,8,c_decompiled,FUN_0039a878,ok
0x39a880,0x29a880,recovered_fn_0029a880,52,c_decompiled,FUN_0039a880,ok
0x39a8b4,0x29a8b4,recovered_fn_0029a8b4,40,c_decompiled,FUN_0039a8b4,ok
0x39a8dc,0x29a8dc,recovered_fn_0029a8dc,4,c_decompiled,FUN_0039a8dc,ok
0x39a8e0,0x29a8e0,recovered_fn_0029a8e0,4,c_decompiled,FUN_0039a8e0,ok
0x39a8e4,0x29a8e4,recovered_fn_0029a8e4,8,c_decompiled,FUN_0039a8e4,ok
0x39a8ec,0x29a8ec,recovered_fn_0029a8ec,8,c_decompiled,FUN_0039a8ec,ok
0x39a8f4,0x29a8f4,recovered_fn_0029a8f4,56,c_decompiled,FUN_0039a8f4,ok
0x39a92c,0x29a92c,recovered_fn_0029a92c,4,c_decompiled,FUN_0039a92c,ok
0x39a930,0x29a930,recovered_fn_0029a930,332,c_decompiled,FUN_0039a930,ok
